Designator,Mid X,Mid Y,Rotation,Layer
C1,41.529,13.462,270.0,top
C10,48.1076,8.6868,0.0,top
C11,48.1076,9.7028,0.0,top
C12,47.752,0.8636,0.0,top
C13,44.069,11.557,180.0,top
C14,5.8928,13.5636,180.0,top
C17,16.5608,4.2672,0.0,top
C18,47.752,3.9116,0.0,top
C19,16.5608,13.2588,0.0,top
C20,12.1158,4.2672,180.0,top
C23,41.402,7.493,270.0,top
C26,41.402,4.9784,90.0,top
C27,48.1076,6.6548,0.0,top
C29,49.276,16.3068,270.0,top
C3,27.5844,4.2672,180.0,top
C30,5.9944,7.6708,0.0,top
C32,47.752,5.4356,0.0,top
C33,47.752,2.3876,0.0,top
C34,50.546,0.8128,0.0,top
C36,47.752,16.3068,270.0,top
C4,25.4254,4.2672,0.0,top
C5,27.5844,13.2588,0.0,top
C8,23.2664,4.2672,180.0,top
C9,23.2664,13.2588,180.0,top
D1,44.0915,13.4845,0.0,top
D2,0.762,16.618,90.0,top
D3,0.762,14.478,270.0,top
D4,0.635,3.302,90.0,top
D5,0.635,1.143,270.0,top
D6,5.9436,16.8656,180.0,top
D7,5.9436,14.986,180.0,top
D8,45.212,4.8768,90.0,top
D9,43.307,4.8768,90.0,top
F1,5.9944,8.9408,0.0,top
FID1,8.1788,7.366,0.0,top
FID2,41.529,10.414,0.0,top
J1,26.67,17.27,0.0,top
J2,53.108,9.398,90.0,top
J4,26.67,0.508,180.0,top
J5,3.81,8.89,0.0,top
L1,44.45,8.509,0.0,top
Q4,47.9552,13.1089,0.0,top
R1,14.2748,4.2672,0.0,top
R10,2.5908,3.302,90.0,top
R11,2.5908,1.143,270.0,top
R16,5.9944,4.6736,0.0,top
R17,12.1412,13.2588,180.0,top
R18,5.9944,5.6896,180.0,top
R19,48.1076,7.6708,0.0,top
R22,25.4254,13.2588,180.0,top
R23,14.3764,13.2588,180.0,top
R24,48.1076,10.7188,180.0,top
R27,46.228,16.3068,90.0,top
R7,5.9944,6.7056,180.0,top
R8,2.6924,16.6116,270.0,top
R9,2.6924,14.478,270.0,top
SW1,5.4864,1.4732,270.0,top
U1,36.83,11.684,270.0,top
U10,36.83,6.096,0.0,top
U11,5.8928,11.3792,0.0,top
U2,36.84,11.675,270.0,top
U3,25.4,8.763,270.0,top
U7,14.351,8.763,180.0,top
U8,36.787,6.105,0.0,bottom
U9,36.83,6.096,270.0,top
Y1,30.6324,4.5212,0.0,top
Y2,30.6324,13.2588,0.0,top
Y3,9.0076,4.972,0.0,top
